ORCID,name,affiliation.name,X,Y
http://orcid.org/0000-0002-7211-4758,Adam N. Price,"Earth and Planetary Sciences University of California, Santa Cruz  Santa Cruz CA USA",-122.0596412,36.9980199
http://orcid.org/0000-0002-6376-0061,Adam S. Ward,O'Neill School of Public and Environmental Affairs Indiana University  Bloomington IN USA,-86.5177669,39.1725608
2,Ali Ameli,School of Environment and Sustainability University of Saskatchewan Saskatoon Saskatchewan CAN,-106.6281666,52.1403016
http://orcid.org/0000-0003-4252-5991,Amanda G. DelVecchia,Flathead Lake Biological Station University of Montana  Polson Montana USA,-114.1631275,47.6932004
http://orcid.org/0000-0001-8489-4002,Amy J. Burgin,University of Kansas and Kansas Biological Survey  Lawrence Kansas USA,-95.2624861,38.9465244
http://orcid.org/0000-0003-2136-3401,Ben DeVries,"Department of Geography, Environment and Geomatics University of Guelph  Guelph ON Canada",-80.2261804,43.5327217
http://orcid.org/0000-0002-4025-2304,Brian D. Strahm,Department of Forest Resources and Environmental Conservation Virginia Polytechnic Institute and State University  Blacksburg VA USA,-80.4224809,37.2238466
6,Brian P. Neff,Decision Support Branch U.S. Geological Survey Lakewood Colorado USA,-105.0813734,39.7047095
http://orcid.org/0000-0002-5804-0510,C. Nathan Jones,Department of Biological Sciences University of Alabama  Tuscaloosa AL USA,-87.5414388,33.2139495
7,Charles R. Lane,"USEPA Office of Research and Development; National Exposure Research Laboratory; 26 West Martin Luther King Drive, Mail Code: 587 Cincinnati OH 45268 USA",-84.5110767,39.1364977
http://orcid.org/0000-0003-0066-8919,Charles R. Lane,National Exposure Research Laboratory U.S. Environmental Protection Agency Cincinnati Ohio USA,-84.5120196,39.1031182
http://orcid.org/0000-0002-2630-8287,Corey A. Krabbenhoft,College of Arts and Sciences and Research and Education in Energy Environment and Water (RENEW) Institute University at Buffalo  Buffalo NY USA,-78.7889697,43.0008093
http://orcid.org/0000-0002-0451-0564,Daniel C. Allen,Department of Biology University of Oklahoma  Norman OK USA,-97.4457137,35.2058936
10,Daniel L. McLaughlin,"Department of Forest Resources and Environmental Conservation; Virginia Tech; Cheatham Hall, Rm 313, 310 W Campus Dr Blacksburg VA 24061 USA",-80.4234167,37.2283843
11,Daniel L. McLaughlin,Forest Resources and Environmental Conservation Virginia Tech Blacksburg Virginia USA,-80.4224809,37.2238466
http://orcid.org/0000-0001-7394-4780,Daniel L. McLaughlin,Department of Forest Resources and Environmental Conservation Virginia Polytechnic Institute and State University  Blacksburg VA USA,-80.4224809,37.2238466
http://orcid.org/0000-0002-5792-789X,Durelle T. Scott,Department of Biological Systems Engineering Virginia Polytechnic Institute and State University  Blacksburg VA USA,-80.4235728,37.2247596
12,Erin R. Hotchkiss,Department of Biological Sciences Virginia Polytechnic Institute and State University  Blacksburg VA USA,-80.425610699999993,37.2290741
http://orcid.org/0000-0001-8301-5301,George H. Allen,Department of Geography Texas A&amp;M University  College Station TX USA,-99.9018131,31.9685988
15,Greg W. McCarty,"USDA-ARS Hydrology and Remote Sensing Laboratory; 10300 Baltimore Avenue, BLDG. 007, RM. 104, BARC-WEST Beltsville MD 20705 USA",-76.937088,39.031348
16,Grey R. Evenson,"Department of Forest Resources and Environmental Conservation; Virginia Tech; Cheatham Hall, Rm 313, 310 W Campus Dr Blacksburg VA 24061 USA",-80.4234167,37.2283843
17,Grey R. Evenson,Forest Resources and Environmental Conservation Virginia Tech Blacksburg Virginia USA,-80.4224809,37.2238466
18,Heather E. Golden,"USEPA Office of Research and Development; National Exposure Research Laboratory; 26 West Martin Luther King Drive, Mail Code: 587 Cincinnati OH 45268 USA",-84.5110767,39.1364977
http://orcid.org/0000-0001-5501-9444,Heather E. Golden,National Exposure Research Laboratory U.S. Environmental Protection Agency Cincinnati Ohio USA,-84.5120196,39.1031182
http://orcid.org/0000-0003-2559-0687,Jacob Hosen,Department of Forestry and Natural Resources Purdue University  West Lafayette Indiana USA,-86.9153938,40.4236804
http://orcid.org/0000-0001-5122-0829,Joanna R. Blaszczak,Department of Natural Resources and Environmental Science University of Nevada  Reno Nevada USA,-119.8141582,39.5437205
http://orcid.org/0000-0002-4935-0736,John C. Hammond,U.S. Geological Survey MD‐DE‐DC Water Science Center  Baltimore MD USA,-77.0368707,38.9071923
http://orcid.org/0000-0002-2654-9873,Judson W. Harvey,"USGS Reston, VA",-77.3570028,38.9586307
http://orcid.org/0000-0003-2143-1187,Julian D. Olden,School of Aquatic and Fishery Sciences University of Washington  Seattle WA USA,-122.3320708,47.6062095
http://orcid.org/0000-0002-0707-3283,Kate S. Boersma,Department of Biology University of San Diego  San Diego CA USA,-117.1888625,32.7721681
http://orcid.org/0000-0002-3722-5663,Katherine M. Wardinski,Department of Biological Systems Engineering Virginia Polytechnic Institute and State University  Blacksburg VA USA,-80.4235728,37.2247596
http://orcid.org/0000-0002-5706-7439,Katie Costigan,School of Geosciences University of Louisiana  Lafayette LA USA,-92.019914,30.211991
http://orcid.org/0000-0002-5706-7439,Katie Costigan,School of Geosciences University of Louisiana  Lafayette LA USA,-92.019914,30.211991
http://orcid.org/0000-0002-5706-7439,Katie H. Costigan,School of Geosciences University of Louisiana  Lafayette Louisiana USA,-92.019914,30.211991
http://orcid.org/0000-0002-5706-7439,Katie H. Costigan,School of Geosciences University of Louisiana  Lafayette Louisiana USA,-92.019914,30.211991
http://orcid.org/0000-0002-1928-1442,Kelly Hondula,"University of Maryland, College Park",-76.9425543,38.9869183
http://orcid.org/0000-0002-1928-1442,Kelly Hondula,"University of Maryland, College Park",-76.9425543,38.9869183
http://orcid.org/0000-0002-1928-1442,Kelly L. Hondula,National Socio‐Environmental Synthesis Center University of Maryland  College Park MD USA,-76.9425543,38.9869183
http://orcid.org/0000-0002-1928-1442,Kelly L. Hondula,National Socio‐Environmental Synthesis Center University of Maryland  College Park MD USA,-76.9425543,38.9869183
http://orcid.org/0000-0002-3831-2531,Ken M. Fritz,Office of Research and Development U.S. EPA  Cincinnati Ohio USA,-84.5120196,39.1031182
http://orcid.org/0000-0003-1773-6236,Kendra E. Kaiser,"Department of Geosciences, Boise State University  Boise Idaho USA",-116.1998719,43.602876
http://orcid.org/0000-0003-1773-6236,Kendra E. Kaiser,"Department of Geosciences, Boise State University  Boise Idaho USA",-116.1998719,43.602876
http://orcid.org/0000-0003-1773-6236,Kendra Kaiser,Geosciences Department Boise State University  Boise ID USA,-116.1998719,43.602876
http://orcid.org/0000-0003-1773-6236,Kendra Kaiser,Geosciences Department Boise State University  Boise ID USA,-116.1998719,43.602876
29,Laurie C. Alexander,"USEPA Office of Research and Development, National Center for Environmental Assessment; William Jefferson Clinton Building, 1200 Pennsylvania Avenue, N. W., Mail Code: 8623P Washington DC 20460 USA",-77.0290095,38.8936901
31,Margaret A. Palmer,National Socio‐Environmental Synthesis Center University of Maryland  College Park MD USA,-76.9425543,38.9869183
32,Margaret A. Palmer,University of Maryland Center For Environmental Sciences,-76.9425543,38.9869183
http://orcid.org/0000-0001-8287-1923,Margaret A. Zimmer,"Department of Earth and Planetary Sciences University of California, Santa Cruz  Santa Cruz CA USA",-122.0596412,36.9980199
http://orcid.org/0000-0001-8287-1923,Margaret A. Zimmer,"Department of Earth and Planetary Sciences University of California, Santa Cruz  Santa Cruz CA USA",-122.0596412,36.9980199
http://orcid.org/0000-0003-1710-1548,Margaret Shanafield,College of Science and Engineering Flinders University  Adelaide Australia,138.5707452,-35.0272039
http://orcid.org/0000-0001-8287-1923,Margaret Zimmer,"Earth and Planetary Sciences University of California, Santa Cruz  Santa Cruz CA USA",-122.0596412,36.9980199
http://orcid.org/0000-0001-8287-1923,Margaret Zimmer,"Earth and Planetary Sciences University of California, Santa Cruz  Santa Cruz CA USA",-122.0596412,36.9980199
36,Megan W. Lang,USFWS National Wetlands Inventory Program; 5275 Leesburg Pike Falls Church VA 22041 USA,-77.1200436,38.845816
37,Melanie K. Vanderhoof,"U.S. Geological Survey Geosciences and Environmental Change Science Center; P.O. Box 25046, DFC, MS 980 Denver CO 80225 USA",-105.12,39.72
http://orcid.org/0000-0003-0570-988X,Meryl C. Mims,Department of Biological Sciences Virginia Tech  Blacksburg VA USA,-80.425610699999993,37.2290741
http://orcid.org/0000-0002-8150-8476,Michael T. Bogan,School of Natural Resources and the Environment University of Arizona  Tucson Arizona USA,-110.9553043,32.2285585
http://orcid.org/0000-0003-4536-3000,Michelle H. Busch,Department of Biology University of Oklahoma  Norman Oklahoma USA,-97.4457137,35.2058936
http://orcid.org/0000-0002-3552-3691,Rebecca Hale,Department of Biological Sciences Idaho State University  Pocatello ID USA,-112.429762,42.8627836
http://orcid.org/0000-0002-3296-1864,Ryan M. Burrows,School of Ecosystem and Forest Sciences The University of Melbourne Burnley Campus  Victoria Australia,144.9618706,-37.7965345
http://orcid.org/0000-0002-8735-5757,Samuel C. Zipper,Kansas Geological Survey University of Kansas  Lawrence KS USA,-95.261271,38.949096
http://orcid.org/0000-0001-6529-7886,Sarah E. Godsey,Department of Geosciences Idaho State University  Pocatello ID USA,-112.434747,42.8631271
http://orcid.org/0000-0001-8991-2679,Stephanie K. Kampf,Department of Ecosystem Science and Sustainability Colorado State University  Fort Collins CO USA,-105.0865487,40.5734148
http://orcid.org/0000-0001-8991-2679,Stephanie K. Kampf,Department of Ecosystem Science and Sustainability Colorado State University  Fort Collins CO USA,-105.0865487,40.5734148
http://orcid.org/0000-0001-8991-2679,Stephanie Kampf,Department of Ecosystem Science and Sustainability Colorado State University  Fort Collins Colorado USA,-105.0865487,40.5734148
http://orcid.org/0000-0001-8991-2679,Stephanie Kampf,Department of Ecosystem Science and Sustainability Colorado State University  Fort Collins Colorado USA,-105.0865487,40.5734148
http://orcid.org/0000-0003-1390-6736,Thibault Datry,Centre de Lyon‐Villeurbanne  Villeurbanne CEDEX France,4.8901709,45.771944
http://orcid.org/0000-0002-6666-8930,Walter Dodds,Division of Biology Kansas State University  Manhattan KS USA,-96.5846433,39.1924904
